dataset,run_name,experiment_name,run_dir,run_mtime,scene_id,ckpt_from_name,sample_rate_from_name,n_views_from_name,submap_every_from_name,profile_from_name,parse_pattern,test_metrics_file,test_output_label,test_protocol,use_legacy_test_output,run_key,analysis_key,test_variant_rank,split,frame_id,frame_index,lpips,psnr,ssim
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,test,0045,45,0.7251909971237183,7.753434658050537,0.24623426795005798
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,test,0075,75,0.7127907872200012,10.901809692382812,0.19673103094100952
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,test,0105,105,0.4003567695617676,20.109546661376953,0.644450306892395
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0000,0,0.10336335003376007,40.66191864013672,0.9814717173576355
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0011,11,0.04950067400932312,49.719478607177734,0.9937337636947632
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0023,23,0.04992801323533058,46.20341110229492,0.9927661418914795
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0034,34,0.03994652256369591,50.55194854736328,0.9941269755363464
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0047,47,0.04754986613988876,48.804229736328125,0.9935334324836731
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0058,58,0.043316639959812164,49.20432662963867,0.9946751594543457
405841,reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,1774808215.9877875,C,dl3dv,30,12,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1,405841__reggs_405841_scene_C_dl3dv-ckpt_sr30_nv12_sm2_stable_v1__test-sampled,1,train,0069,69,0.07138819992542267,45.861289978027344,0.9910169243812561
