experiment_name,scene,plan,variant,model,run_name,iter,split,l1,psnr,log_path
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,12000,test,0.01442874587761859,30.606356302897133,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,12000,train,0.013448592275381088,30.945388031005862,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,14000,test,0.014055273029953241,30.754068851470947,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,14000,train,0.012481931224465372,31.45358581542969,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,16000,test,0.013492091481263438,30.98364766438802,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,16000,train,0.012508186511695385,31.414084243774415,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,18000,test,0.013105747988447547,31.0883150100708,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,18000,train,0.011656323820352555,31.75307846069336,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,20000,test,0.013553244372208912,31.044371128082275,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,20000,train,0.012813001684844495,31.611095428466797,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,22000,test,0.012752728691945473,31.262943585713703,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,22000,train,0.011379283480346204,32.09094924926758,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,24000,test,0.012688648033266265,31.380053679148354,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,24000,train,0.011221491731703281,32.17057075500488,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,26000,test,0.012678128201514482,31.41582377751668,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841__planA__colmap_96__scaffold__final_40k_eval2k,405841,planA,colmap_96,scaffold,final_40k_eval2k,26000,train,0.011424288153648376,32.409477996826176,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
